"Línea","Estacion","Zona"
"C-1","Príncipe Pío","A"
"C-1","Pirámides","A"
"C-1","Delicias","A"
"C-1","Méndez Álvaro","A"
"C-1","Atocha","A"
"C-1","Recoletos","A"
"C-1","Nuevos Ministerios","A"
"C-1","Chamartín-Clara Campoamor","A"
"C-1","Fuente de la Mora","A"
"C-1","Valdebebas","A"
"C-1","Aeropuerto T4","A"
"C-2","Guadalajara","E1"
"C-2","Azuqueca","E1"
"C-2","Meco","C1"
"C-2","Alcala de Henares Universidad","B3"
"C-2","Alcalá de Henares","B3"
"C-2","La Garena","B3"
"C-2","Soto del Henares","B2"
"C-2","Torrejón de Ardoz","B2"
"C-2","San Fernando de Henares","B1"
"C-2","Coslada","B1"
"C-2","Vicálvaro","A"
"C-2","Santa Eugenia","A"
"C-2","Vallecas","A"
"C-2","El Pozo","A"
"C-2","Entrevias","A"
"C-2","Atocha","A"
"C-2","Recoletos","A"
"C-2","Nuevos Ministerios","A"
"C-2","Chamartín","A"
"C-3","Aranjuez","C1"
"C-3","Ciempozuelos","B3"
"C-3","Valdemoro","B3"
"C-3","Pinto","B2"
"C-3","Getafe Industrial","B1"
"C-3","El Casar","B1"
"C-3","San Cristóbal Industrial","A"
"C-3","San Cristóbal de los Ángeles","A"
"C-3","Villaverde Bajo","A"
"C-3","Atocha","A"
"C-3","Sol","A"
"C-3","Nuevos Ministerios","A"
"C-3","Chamartín","A"
"C-4a","Parla","B2"
"C-4a","Getafe Sector 3","B1"
"C-4a","Getafe Centro","B1"
"C-4a","Las Margaritas","B1"
"C-4a","Villaverde Alto","A"
"C-4a","Villaverde Bajo","A"
"C-4a","Atocha","A"
"C-4a","Sol","A"
"C-4a","Nuevos Ministerios","A"
"C-4a","Chamartín","A"
"C-4a","Cantoblanco Universidad","B1"
"C-4a","Universidad Pontificia de Comillas","B1"
"C-4a","Valdelasfuentes","B1"
"C-4a","Alcobendas-San Sebastián de los Reyes","B1"
"C-4b","Parla","B2"
"C-4b","Getafe Sector 3","B1"
"C-4b","Getafe Centro","B1"
"C-4b","Las Margaritas","B1"
"C-4b","Villaverde Alto","A"
"C-4b","Villaverde Bajo","A"
"C-4b","Atocha","A"
"C-4b","Sol","A"
"C-4b","Nuevos Ministerios","A"
"C-4b","Chamartín","A"
"C-4b","Cantoblanco Universidad","B1"
"C-4b","Alcobendas-San Sebastián de los Reyes","B1"
"C-4b","Colmenar Viejo","C1"
"C-5","Móstoles El Soto","B2"
"C-5","Móstoles Central","B2"
"C-5","Las Retamas","B2"
"C-5","Alcorcón Central","B1"
"C-5","San José de Valderas","B1"
"C-5","Cuatro Vientos","A"
"C-5","Las Águilas","A"
"C-5","Fanjul","A"
"C-5","Aluche","A"
"C-5","Laguna","A"
"C-5","Embajadores","A"
"C-5","Atocha Cercanias","A"
"C-5","Méndez Alvaro","A"
"C-5","Doce de Octubre","A"
"C-5","Ocasitas","A"
"C-5","Puente Alcocer","A"
"C-5","Villaverde Alto","A"
"C-5b","Zarzaquemada","B1"
"C-5b","Leganés","B1"
"C-5b","Parque Polvoranca","B1"
"C-5b","La Serna","B2"
"C-5b","Fuenlabrada","B2"
"C-5b","Humanes","B3"
"C-7","Alcalá de Henares","B3"
"C-7","La Garena","B3"
"C-7","Soto del Henares","B2"
"C-7","Torrejón de Ardoz","B2"
"C-7","San Fernando de Henares","B1"
"C-7","Coslada","B1"
"C-7","Vicálvaro","A"
"C-7","Santa Eugenia","A"
"C-7","Vallecas","A"
"C-7","El Pozo","A"
"C-7","Entrevias","A"
"C-7","Atocha","A"
"C-7","Recoletos","A"
"C-7","Nuevos Ministerios","A"
"C-7","Chamartín","A"
"C-7","ramón y Cajal","A"
"C-7","Mirasierra","A"
"C-7","Pitis","A"
"C-7","Las Rozas","A"
"C-7","Majadahonda","A"
"C-7","El Barrrial","B1"
"C-7","Pozuelo","B1"
"C-7","Aravaca","A"
"C-7","Príncipe Pío","A"
"C-8","Guadalajara","E1"
"C-8","Azuqueca","E1"
"C-8","Meco","C1"
"C-8","Alcala de Henares Universidad","B3"
"C-8","Alcalá de Henares","B3"
"C-8","La Garena","B3"
"C-8","Soto del Henares","B2"
"C-8","Torrejón de Ardoz","B2"
"C-8","San Fernando de Henares","B1"
"C-8","Coslada","B1"
"C-8","Vicálvaro","A"
"C-8","Santa Eugenia","A"
"C-8","Vallecas","A"
"C-8","El Pozo","A"
"C-8","Entrevias","A"
"C-8","Atocha","A"
"C-8","Recoletos","A"
"C-8","Nuevos Ministerios","A"
"C-8","Chamartín","A"
"C-8","ramón y Cajal","A"
"C-8","Mirasierra","A"
"C-8","Pitis","A"
"C-8","Pinar de las Rozas","B2"
"C-8","Las Matas","B2"
"C-8","Torrelodones","B3"
"C-8","Galapagar-La Navata","B3"
"C-8","Villaba","B3"
"C-8","Los Negrales","C1"
"C-8","Alpedrete","C1"
"C-8","Collado Mediano","C1"
"C-8","Los Molinos","C2"
"C-8","Cercedilla","C2"
"C-8a","Guadalajara","E1"
"C-8a","Azuqueca","E1"
"C-8a","Meco","C1"
"C-8a","Alcala de Henares Universidad","B3"
"C-8a","Alcalá de Henares","B3"
"C-8a","La Garena","B3"
"C-8a","Soto del Henares","B2"
"C-8a","Torrejón de Ardoz","B2"
"C-8a","San Fernando de Henares","B1"
"C-8a","Coslada","B1"
"C-8a","Vicálvaro","A"
"C-8a","Santa Eugenia","A"
"C-8a","Vallecas","A"
"C-8a","El Pozo","A"
"C-8a","Entrevias","A"
"C-8a","Atocha","A"
"C-8a","Recoletos","A"
"C-8a","Nuevos Ministerios","A"
"C-8a","Chamartín","A"
"C-8a","ramón y Cajal","A"
"C-8a","Mirasierra","A"
"C-8a","Pitis","A"
"C-8a","Pinar de las Rozas","B2"
"C-8a","Las Matas","B2"
"C-8a","Torrelodones","B3"
"C-8a","Galapagar-La Navata","B3"
"C-8a","Villaba","B3"
"C-8a","San Yago","C1"
"C-8a","Las Zorreras","C1"
"C-8a","El Escorial","C1"
"C-8a","Zarzalejo","C2"
"C-8a","Robledo de Chavela","C2"
"C-8a","Santa María de la Alameda","C2"
"C-9","Cercedilla","C2"
"C-9","Navacerrada","Zona Verde"
"C-9","Cotos","Zona Verde"
"C-10","Villalba","B3"
"C-10","Galapagar-La Navata","B3"
"C-10","Torrelodones","B3"
"C-10","Las Matas","B2"
"C-10","Pinar de las Rozas","B2"
"C-10","Las Rozas","B2"
"C-10","Majadahonda","B2"
"C-10","El Barrial-Centro Comercial-Pozuelo","B1"
"C-10","Pozuelo","B1"
"C-10","Aravaca","A"
"C-10","Principe Pio","A"
"C-10","Pirámides","A"
"C-10","Delicias","A"
"C-10","Méndez Álvaro","A"
"C-10","Atocha","A"
"C-10","Recoletos","A"
"C-10","Nuevos Ministerios","A"
"C-10","Chamartín-Clara Campoamor","A"
"C-10","Fuente de la Mora","A"
"C-10","Valdebebas","A"
"C-10","Aeropuerto T4","A"
